Accuracy,Training values,Test values,Training percentage
31.97,3,147,2
31.51,4,146,3
30.56,6,144,4
30.07,7,143,5
29.08,9,141,6
28.57,10,140,7
27.54,12,138,8
27.01,13,137,9
25.93,15,135,10
25.37,16,134,11
24.24,18,132,12
23.66,19,131,13
22.48,21,129,14
21.88,22,128,15
20.63,24,126,16
20.0,25,125,17
18.7,27,123,18
18.03,28,122,19
16.67,30,120,20
15.97,31,119,21
14.53,33,117,22
13.79,34,116,23
12.28,36,114,24
11.5,37,113,25
9.91,39,111,26
9.09,40,110,27
7.41,42,108,28
6.54,43,107,29
4.76,45,105,30
3.85,46,104,31
1.96,48,102,32
0.99,49,101,33
0.0,51,99,34
47.96,52,98,35
46.88,54,96,36
46.32,55,95,37
46.24,57,93,38
45.65,58,92,39
44.44,60,90,40
43.82,61,89,41
42.53,63,87,42
41.86,64,86,43
40.48,66,84,44
39.76,67,83,45
38.27,69,81,46
37.5,70,80,47
35.9,72,78,48
35.06,73,77,49
33.33,75,75,50
31.51,77,73,51
30.56,78,72,52
28.57,80,70,53
27.54,81,69,54
25.37,83,67,55
24.24,84,66,56
21.88,86,64,57
20.63,87,63,58
18.03,89,61,59
16.67,90,60,60
13.79,92,58,61
12.28,93,57,62
9.09,95,55,63
7.41,96,54,64
3.85,98,52,65
1.96,99,51,66
0.0,101,49,67
50.0,102,48,68
58.7,104,46,69
66.67,105,45,70
67.44,107,43,71
66.67,108,42,72
65.0,110,40,73
66.67,111,39,74
67.57,113,37,75
75.0,114,36,76
73.53,116,34,77
72.73,117,33,78
70.97,119,31,79
76.67,120,30,80
75.0,122,28,81
74.07,123,27,82
84.0,125,25,83
83.33,126,24,84
95.45,128,22,85
95.24,129,21,86
94.74,131,19,87
94.44,132,18,88
93.75,134,16,89
93.33,135,15,90
92.31,137,13,91
91.67,138,12,92
100.0,140,10,93
100.0,141,9,94
100.0,143,7,95
100.0,144,6,96
100.0,146,4,97
100.0,147,3,98
100.0,149,1,99
